hanja,kor,radical,radical_name,stroke_count,level,rep_pron
晨,새벽 신,日,날 일,11,30,신
新,새 신,斤,근/날 근,13,61,신
愼,삼갈 신,心,마음 심,13,31,신
失,잃을 실,大,큰 대,5,60,실
室,집 실,宀,집 면,9,80,실
實,열매 실,宀,집 면,14,51,실
心,마음 심,心,마음 심,4,70,심
甚,심할 심,甘,달 감,9,31,심
深,깊을 심,水,물 수,11,41,심
尋,찾을 심,寸,마디 촌,12,30,심
審,살필 심,宀,집 면,15,31,심
十,열 십,十,열 십,2,80,십
雙,두 쌍,隹,새 추,18,31,쌍
氏,각시/성씨 씨,氏,각시/성씨 씨,4,40,씨
牙,어금니 아,牙,어금니 아,4,31,아
我,나 아,戈,창 과,7,31,아
兒,아이 아,儿,어진사람 인,8,51,아
阿,언덕 아,阜,언덕 부,8,31,아
亞,버금 아,二,두 이,8,31,아
芽,싹 아,艸,풀 초,8,31,아
雅,맑을 아,隹,새 추,12,31,아
餓,주릴 아,食,밥/먹을 식,16,30,아
岳,큰산 악,山,메 산,8,30,악
惡,악할 악|미워할 오,心,마음 심,12,51,악
安,편안 안,宀,집 면,6,71,안
岸,언덕 안,山,메 산,8,31,안
案,책상 안,木,나무 목,10,50,안
眼,눈 안,目,눈 목,11,41,안
雁,기러기 안,隹,새 추,12,30,안
顔,낯 안,頁,머리 혈,18,31,안
謁,뵐 알,言,말씀 언,16,30,알
暗,어두울 암,日,날 일,13,41,암
巖,바위 암,山,메 산,23,31,암
押,누를 압,手,손 수,8,30,압
壓,누를 압,土,흙 토,17,41,압
央,가운데 앙,大,큰 대,5,31,앙
仰,우러를 앙,人,사람 인,6,31,앙
殃,재앙 앙,歹,뼈앙상할 알|나쁠 대,9,30,앙
哀,슬플 애,口,입 구,9,31,애
涯,물가 애,水,물 수,11,30,애
愛,사랑 애,心,마음 심,13,60,애
厄,액 액,厂,기슭 한,4,30,액
液,진 액,水,물 수,11,41,액
額,이마 액,頁,머리 혈,18,40,액
也,이끼/어조사 야,乙,둘째 천간 을,3,30,야
夜,밤 야,夕,저녁 석,8,60,야
耶,어조사 야,耳,귀 이,9,30,야
野,들 야,里,마을 리,11,60,야
約,맺을 약,糸,실 사|가는실 멱,9,51,약
若,같을 약|반야 야,艸,풀 초,9,31,약
弱,약할 약,弓,활 궁,10,61,약
藥,약 약,艸,풀 초,19,61,약
躍,뛸 약,足,발 족 / 족할 족,21,30,약
羊,양 양,羊,양 양,6,41,양
洋,큰바다 양,水,물 수,9,60,양
陽,볕 양,阜,언덕 부,12,60,양
揚,날릴 양,手,손 수,12,31,양
楊,버들 양,木,나무 목,13,30,양
養,기를 양,食,밥/먹을 식,15,51,양
樣,모양 양,木,나무 목,15,40,양
壤,흙덩이 양,土,흙 토,20,31,양
讓,사양할 양,言,말씀 언,24,31,양
於,어조사 어|탄식할 오,方,모 방,8,30,어
魚,고기/물고기 어,魚,고기/물고기 어,11,50,어
御,거느릴 어,彳,조금걸을 척,12,31,어
語,말씀 어,言,말씀 언,14,70,어
漁,고기잡을 어,水,물 수,14,50,어
抑,누를 억,手,손 수,7,31,억
億,억 억,人,사람 인,15,50,억
憶,생각할 억,心,마음 심,16,31,억
言,말씀 언,言,말씀 언,7,60,언
焉,어찌 언,火,불 화,11,30,언
嚴,엄할 엄,口,입 구,20,40,엄
業,업 업,木,나무 목,13,61,업
予,나 여,亅,갈고리 궐,4,30,여
汝,너 여,水,물 수,6,30,여
如,같을 여,女,계집 녀,6,41,여
余,나 여,人,사람 인,7,30,여
與,더불/줄 여,臼,절구 구,14,40,여
餘,남을 여,食,밥/먹을 식,16,41,여
輿,수레 여,車,수레 거/차,17,30,여
亦,또 역,亠,돼지해머리 두,6,31,역
役,부릴 역,彳,조금걸을 척,7,31,역
易,바꿀 역|쉬울 이,日,날 일,8,40,역
疫,전염병 역,疒,병들어기댈 녁,9,31,역
逆,거스릴 역,辵,쉬엄쉬엄갈 착,10,41,역
域,지경 역,土,흙 토,11,40,역
譯,번역할 역,言,말씀 언,20,31,역
驛,역 역,馬,말 마,23,31,역
延,늘일 연,廴,길게걸을 인,7,40,연
沿,물따라갈/따를 연,水,물 수,8,31,연
宴,잔치 연,宀,집 면,10,31,연
軟,연할 연,車,수레 거/차,11,31,연
硏,갈 연,石,돌 석,11,41,연
然,그럴 연,火,불 화,12,70,연
鉛,납 연,金,쇠 금|성 김,13,40,연
煙,연기 연,火,불 화,13,41,연
演,펼 연,水,물 수,14,41,연
緣,인연 연,糸,실 사|가는실 멱,15,40,연
燕,제비 연,火,불 화,16,31,연
燃,탈 연,火,불 화,16,40,연
悅,기쁠 열,心,마음 심,10,31,열
熱,더울 열,火,불 화,15,50,열
閱,볼 열,門,문 문,15,30,열
炎,불꽃 염,火,불 화,8,31,염
染,물들 염,木,나무 목,9,31,염
鹽,소금 염,鹵,개펄 로,24,31,염
葉,잎 엽,艸,풀 초,13,50,엽
永,길 영,水,물 수,5,60,영
泳,헤엄칠 영,水,물 수,8,30,영
迎,맞을 영,辵,쉬엄쉬엄갈 착,8,40,영
英,꽃부리 영,艸,풀 초,9,60,영
映,비칠 영,日,날 일,9,40,영
詠,읊을 영,言,말씀 언,12,30,영
榮,영화 영,木,나무 목,14,41,영
影,그림자 영,彡,터럭 삼,15,31,영
營,경영할 영,火,불 화,17,40,영
銳,날카로울 예,金,쇠 금|성 김,15,30,예
豫,미리 예,豕,돼지 시,16,40,예
藝,재주 예,艸,풀 초,19,41,예
譽,기릴/명예 예,言,말씀 언,21,31,예
五,다섯 오,二,두 이,4,80,오
午,낮 오,十,열 십,4,71,오
汚,더러울 오,水,물 수,6,30,오
吾,나 오,口,입 구,7,30,오
娛,즐길 오,女,계집 녀,10,30,오
烏,까마귀 오,火,불 화,10,31,오
悟,깨달을 오,心,마음 심,10,31,오
