hanja,h,k
緊,臤,어질 현
吉,口,입 구
吉,士,선비 사
那,刀,칼 도
那,二,두 이
那,⻏,우부방 읍
諾,言,말씀 언
諾,若,같을 약
暖,日,날 일
暖,爰,이에 원
難,隹,새 추
難,廿,스물 입
難,口,입 구
難,夫,지아비 부
南,十,열 십
南,冂,멀 경
南,𢆉,찌를 임
男,田,밭 전
男,力,힘 력(역)
納,糹,가는 실 멱
納,內,안 내
娘,女,여자 녀(여)
娘,良,어질 량(양)
內,入,들 입
內,冂,멀 경
耐,而,말 이을 이
耐,寸,마디 촌
奈,大,클 대
奈,示,보일 시
乃,乃,이에 내
女,女,여자 녀(여)
年,𠂉,-
年,干,방패 간
年,丨,뚫을 곤
念,心,마음 심
念,今,이제 금
寧,寍,편안할 녕(영)
寧,丁,고무래 정
怒,心,마음 심
怒,奴,종 노
努,力,힘 력(역)
努,奴,종 노
奴,女,여자 녀(여)
奴,又,또 우
農,辰,별 진
農,曲,굽을 곡
腦,⺼,육달월 월
腦,𡿺,골 뇌
惱,忄,심방변 심
惱,𡿺,골 뇌
能,䏍,작은 벌레 원
能,匕,비수 비
能,匕,비수 비
泥,氵,삼수변 수
泥,尼,여승 니(이)
多,夕,저녁 석
多,夕,저녁 석
茶,艹,초두머리 초
茶,𠆢,사람 인
茶,木,나무 목
短,矢,화살 시
短,豆,콩 두
團,囗,나라 국
團,專,오로지 전
壇,土,흙 토
壇,亶,믿음 단
斷,斤,근 근
斷,㡭,이을 계
單,吅,부르짖을 훤
單,甲,갑옷 갑
單,一,한 일
檀,木,나무 목
檀,亶,믿음 단
端,立,설 립(입)
端,耑,끝 단
段,殳,몽둥이 수
段,丿,삐침 별
段,丨,뚫을 곤
段,三,석 삼
旦,日,날 일
旦,一,한 일
但,亻,사람인변 인
但,旦,아침 단
丹,丶,점 주
丹,冂,멀 경
丹,一,한 일
達,辶,쉬엄쉬엄 갈 착
達,𦍒,어린 양 달
談,言,말씀 언
談,炎,불꽃 염
擔,扌,재방변 수
擔,詹,이를 첨
淡,氵,삼수변 수
淡,炎,불꽃 염
答,𥫗,대죽 죽
答,合,합할 합
踏,𧾷,발족 족
踏,沓,겹칠 답
畓,田,밭 전
畓,水,물 수
堂,土,흙 토
堂,龸,-
堂,口,입 구
當,田,밭 전
當,龸,-
當,口,입 구
黨,黑,검을 흑
黨,龸,-
黨,口,입 구
糖,米,쌀 미
糖,唐,당나라 당
唐,口,입 구
唐,广,집 엄
唐,肀,붓 사
大,大,클 대
代,亻,사람인변 인
代,弋,주살 익
對,寸,마디 촌
對,业,업 업
對,𦍌,양 양
待,彳,조금 걸을 척
待,寺,절 사
帶,凵,입 벌릴 감
帶,一,한 일
帶,巾,수건 건
隊,阝,좌부변 부
隊,㒸,드디어 수
臺,至,이를 지
臺,吉,길할 길
臺,冖,덮을 멱
貸,貝,조개 패
貸,代,대신할 대
德,彳,조금 걸을 척
德,𢛳,클 덕
道,辶,쉬엄쉬엄 갈 착
道,首,머리 수
圖,囗,나라 국
圖,啚,인색할 비
度,广,집 엄
度,廿,스물 입
度,又,또 우
到,刂,선칼도방 도
到,至,이를 지
都,者,놈 자
都,⻏,우부방 읍
島,丿,삐침 별
島,𠁣,-
島,𠃌,-
島,山,메 산
導,寸,마디 촌
導,道,길 도
徒,彳,조금 걸을 척
徒,走,달릴 주
盜,皿,그릇 명
盜,㳄,침 연
逃,辶,쉬엄쉬엄 갈 착
逃,兆,조 조
渡,氵,삼수변 수
渡,度,법도 도
桃,木,나무 목
桃,兆,조 조
倒,亻,사람인변 인
倒,到,이를 도
陶,阝,좌부변 부
陶,匋,질그릇 도
途,辶,쉬엄쉬엄 갈 착
途,余,나 여
刀,刀,칼 도
跳,𧾷,발족 족
跳,兆,조 조
挑,扌,재방변 수
挑,兆,조 조
塗,土,흙 토
塗,涂,길 도
稻,禾,벼 화
稻,舀,퍼낼 요
讀,言,말씀 언
讀,賣,팔 매
獨,犭,개사슴록변 견
獨,蜀,애벌레 촉
毒,龶,-
毒,母,어머니 모
督,目,눈 목
督,叔,아저씨 숙
篤,𥫗,대죽 죽
篤,馬,말 마
敦,攵,칠 복
敦,享,누릴 향
豚,豕,돼지 시
豚,月,달 월
突,穴,구멍 혈
突,犬,개 견
東,木,나무 목
東,日,날 일
動,力,힘 력(역)
動,重,무거울 중
同,冂,멀 경
同,𠮛,뜻 지
洞,氵,삼수변 수
洞,同,한가지 동
冬,夂,뒤쳐져 올 치
冬,⺀,얼음 빙
童,立,설 립(입)
童,里,마을 리(이)
銅,金,쇠 금
銅,同,한가지 동
凍,冫,얼음 빙
凍,東,동녘 동
頭,頁,머리 혈
頭,豆,콩 두
斗,斗,말 두
豆,𠮛,뜻 지
豆,䒑,초두머리 초
屯,屮,왼손 좌
屯,丿,삐침 별
鈍,金,쇠 금
鈍,屯,진 칠 둔
得,彳,조금 걸을 척
得,㝵,그칠 애
登,癶,등질 발
登,豆,콩 두
等,𥫗,대죽 죽
等,寺,절 사
燈,火,불 화
燈,登,오를 등
騰,月,달 월
騰,駦,오를 등
羅,罒,그물망 망
羅,維,벼리 유
樂,𣐩,-
樂,𢆶,작을 유
落,艹,초두머리 초
落,洛,물 이름 락(낙)
絡,糹,가는 실 멱
絡,各,각각 각
亂,乚,숨을 은
亂,𤔔,어지러울 란(난)
卵,𠂑,-
卵,卪,병부 절
欄,木,나무 목
欄,闌,가로막을 란(난)
蘭,艹,초두머리 초
蘭,闌,가로막을 란(난)
覽,見,볼 견
覽,臣,신하 신
覽,𠂉,-
覽,一,한 일
覽,罒,그물망 망
濫,氵,삼수변 수
濫,監,볼 감
朗,丿,삐침 별
朗,𠁣,-
朗,丶,점 주
朗,月,달 월
浪,氵,삼수변 수
浪,良,어질 량(양)
廊,广,집 엄
廊,郎,사내 랑(낭)
郞,良,어질 량(양)
郞,⻏,우부방 읍
來,从,좇을 종
來,木,나무 목
冷,冫,얼음 빙
冷,令,하여금 령(영)
略,田,밭 전
略,各,각각 각
掠,扌,재방변 수
掠,京,서울 경
良,艮,괘 이름 간
良,丶,점 주
量,里,마을 리(이)
量,旦,아침 단
兩,𠓜,나란히 들어갈 량(양)
兩,帀,두를 잡
糧,米,쌀 미
糧,量,헤아릴 량(양)
涼,氵,삼수변 수
涼,京,서울 경
梁,木,나무 목
梁,氵,삼수변 수
梁,刅,비롯할 창
諒,言,말씀 언
諒,京,서울 경
旅,方,모 방
旅,𠂉,-
旅,𧘇,옷의변 의
麗,鹿,사슴 록(녹)
麗,丽,고울 려(여)
慮,虍,호피 무늬 호
慮,思,생각 사
勵,力,힘 력(역)
勵,厲,갈 려(여)
力,力,힘 력(역)
歷,止,그칠 지
歷,厤,책력 력(역)
曆,日,날 일
曆,厤,책력 력(역)
練,糹,가는 실 멱
練,柬,가릴 간
連,辶,쉬엄쉬엄 갈 착
連,車,수레 차
鍊,金,쇠 금
鍊,柬,가릴 간
蓮,艹,초두머리 초
蓮,連,잇닿을 련(연)
聯,耳,귀 이
聯,𢇇,실 꿸 관
戀,心,마음 심
戀,䜌,어지러울 련(연)
憐,忄,심방변 심
憐,粦,도깨비불 린(인)
列,刂,선칼도방 도
列,歹,살 바른 뼈 알
烈,灬,연화발 화
烈,列,벌일 렬(열)
裂,衣,옷 의
裂,列,벌일 렬(열)
劣,力,힘 력(역)
劣,少,적을 소
廉,广,집 엄
廉,兼,겸할 겸
獵,犭,개사슴록변 견
獵,巤,목 갈기 렵(엽)
領,頁,머리 혈
領,令,하여금 령(영)
令,亼,모일 집
令,龴,-
靈,霝,비 올 령(영)
靈,巫,무당 무
嶺,山,메 산
嶺,領,거느릴 령(영)
零,雨,비 우
零,令,하여금 령(영)
例,亻,사람인변 인
例,列,벌일 렬(열)
禮,示,보일 시
禮,豊,풍년 풍
隷,隶,미칠 이
隷,士,선비 사
隷,示,보일 시
老,耂,늙을로엄 로(노)
老,匕,비수 비
路,𧾷,발족 족
路,各,각각 각
勞,力,힘 력(역)
勞,𤇾,등불 형
露,雨,비 우
露,路,길 로(노)
爐,火,불 화
爐,盧,성씨 로(노)
綠,糹,가는 실 멱
綠,彔,새길 록(녹)
錄,金,쇠 금
錄,彔,새길 록(녹)
祿,示,보일 시
祿,彔,새길 록(녹)
鹿,广,집 엄
鹿,丄,윗 상
鹿,𠃍,-
鹿,比,견줄 비
論,言,말씀 언
論,侖,생각할 륜(윤)
弄,廾,받들 공
弄,王,임금 왕
賴,束,묶을 속
賴,刀,칼 도
賴,貝,조개 패
雷,雨,비 우
雷,田,밭 전
料,斗,말 두
料,米,쌀 미
僚,亻,사람인변 인
僚,尞,횃불 료(요)
了,了,마칠 료(요)
龍,𦚏,춘
龍,𠃑,-
龍,三,석 삼
龍,乚,숨을 은
漏,氵,삼수변 수
漏,屚,샐 루(누)
樓,木,나무 목
樓,婁,끌 루(누)
累,糸,가는 실 멱
累,田,밭 전
淚,氵,삼수변 수
淚,戾,어그러질 려(여)
屢,尸,주검 시
屢,婁,끌 루(누)
流,氵,삼수변 수
流,㐬,깃발 류(유)
類,类,무리 류(유)
類,頁,머리 혈
留,𠂎,-
留,刀,칼 도
留,田,밭 전
柳,木,나무 목
柳,卯,토끼 묘
六,八,여덟 팔
六,亠,돼지해머리 두
陸,阝,좌부변 부
陸,坴,언덕 륙(육)
輪,車,수레 차
輪,侖,생각할 륜(윤)
倫,亻,사람인변 인
倫,侖,생각할 륜(윤)
律,彳,조금 걸을 척
律,聿,붓 율
率,玄,검을 현
率,十,열 십
率,冫,얼음 빙
栗,木,나무 목
栗,覀,덮을 아
隆,阝,좌부변 부
隆,㚅,하늘에 예 지낼 륭(융)
陵,阝,좌부변 부
陵,夌,언덕 릉(능)
里,日,날 일
里,土,흙 토
利,刂,선칼도방 도
利,禾,벼 화
理,王,임금 왕
理,里,마을 리(이)
李,木,나무 목
李,子,아들 자
離,隹,새 추
離,离,떠날 리(이)
吏,口,입 구
吏,丈,어른 장
履,尸,주검 시
履,復,회복할 복
裏,衣,옷 의
裏,里,마을 리(이)
梨,木,나무 목
梨,利,이로울 리(이)
隣,阝,좌부변 부
隣,粦,도깨비불 린(인)
林,木,나무 목
林,木,나무 목
臨,臣,신하 신
臨,𠂉,-
臨,品,물건 품
立,亠,돼지해머리 두
立,䒑,초두머리 초
馬,丨,뚫을 곤
馬,一,한 일
馬,𠀆,-
馬,𠃌,-
馬,灬,연화발 화
磨,石,돌 석
磨,麻,삼 마
麻,广,집 엄
麻,𣏟,삼베 패
漠,氵,삼수변 수
漠,莫,없을 막
莫,艹,초두머리 초
莫,旲,햇빛 대
幕,巾,수건 건
幕,莫,없을 막
萬,艹,초두머리 초
萬,禺,어리석을 옹
滿,氵,삼수변 수
滿,㒼,평평할 만
晚,日,날 일
晚,免,면할 면
慢,忄,심방변 심
慢,曼,길게 끌 만
漫,氵,삼수변 수
漫,曼,길게 끌 만
末,木,나무 목
末,一,한 일
望,月,달 월
望,亡,망할 망
望,王,임금 왕
亡,亡,망할 망
妄,女,여자 녀(여)
妄,亡,망할 망
忘,心,마음 심
忘,亡,망할 망
茫,艹,초두머리 초
茫,汒,황급할 망
忙,忄,심방변 심
忙,亡,망할 망
罔,𦉰,그물 망
罔,亡,망할 망
每,母,어머니 모
每,𠂉,-
買,貝,조개 패
買,罒,그물망 망
賣,貝,조개 패
賣,士,선비 사
賣,罒,그물망 망
妹,女,여자 녀(여)
妹,未,아닐 미
媒,女,여자 녀(여)
媒,某,아무 모
梅,木,나무 목
梅,每,매양 매
埋,土,흙 토
埋,里,마을 리(이)
脈,⺼,육달월 월
脈,𠂢,갈래 파
麥,來,올 래(내)
麥,夂,뒤쳐져 올 치
孟,子,아들 자
孟,皿,그릇 명
猛,犭,개사슴록변 견
猛,孟,맏 맹
盲,目,눈 목
盲,亡,망할 망
盟,皿,그릇 명
盟,明,밝을 명
面,丆,구결자 면
面,囬,돌아올 회
勉,免,면할 면
勉,力,힘 력(역)
眠,目,눈 목
眠,民,백성 민
綿,糹,가는 실 멱
綿,帛,비단 백
免,𠮥,-
免,儿,어진 사람 인
滅,氵,삼수변 수
滅,烕,없앨 혈
名,口,입 구
名,夕,저녁 석
命,亼,모일 집
命,叩,두드릴 고
明,日,날 일
明,月,달 월
鳴,鳥,새 조
鳴,口,입 구
銘,金,쇠 금
銘,名,이름 명
冥,冖,덮을 멱
冥,昗,기울 측
母,毋,말 무
母,丶,점 주
毛,乚,숨을 은
毛,彡,터럭 삼
模,木,나무 목
模,莫,없을 막
謀,言,말씀 언
謀,某,아무 모
貌,豸,벌레 치
貌,皃,모양 모
慕,心,마음 심
慕,莫,없을 막
某,𣏼,삽 화
某,一,한 일
暮,日,날 일
暮,莫,없을 막
募,力,힘 력(역)
募,莫,없을 막
冒,冃,쓰개 모
冒,目,눈 목
侮,亻,사람인변 인
侮,每,매양 매
木,木,나무 목
目,口,입 구
目,二,두 이
牧,牛,소 우
牧,攵,칠 복
睦,目,눈 목
睦,坴,언덕 륙(육)
沒,氵,삼수변 수
沒,⺈,칼도 도
沒,又,또 우
蒙,艹,초두머리 초
蒙,冡,덮어쓸 몽
夢,艹,초두머리 초
夢,罒,그물망 망
夢,冖,덮을 멱
夢,夕,저녁 석
墓,土,흙 토
墓,莫,없을 막
妙,女,여자 녀(여)
妙,少,적을 소
卯,𠂎,-
卯,卩,병부 절
廟,广,집 엄
廟,朝,아침 조
苗,艹,초두머리 초
苗,田,밭 전
無,灬,연화발 화
無,卌,마흔 십
無,𠂉,-
無,一,한 일
務,矛,창 모
務,攵,칠 복
務,力,힘 력(역)
武,止,그칠 지
武,一,한 일
武,弋,주살 익
舞,舛,어그러질 천
舞,𠂉,-
舞,卌,마흔 십
貿,𠂎,-
貿,刀,칼 도
貿,貝,조개 패
茂,艹,초두머리 초
茂,戊,천간 무
戊,戈,창 과
戊,丿,삐침 별
霧,雨,비 우
霧,務,힘쓸 무
墨,土,흙 토
墨,黒,검을 흑
默,黑,검을 흑
默,犬,개 견
門,𠁣,-
門,𠃛,-
文,亠,돼지해머리 두
文,乂,벨 예
問,口,입 구
問,門,문 문
聞,耳,귀 이
聞,門,문 문
紋,糹,가는 실 멱
紋,文,글월 문
物,牛,소 우
物,勿,말 물
勿,勹,쌀 포
勿,丿,삐침 별
勿,丿,삐침 별
美,𦍌,양 양
美,大,클 대
米,八,여덟 팔
米,木,나무 목
未,木,나무 목
未,一,한 일
味,口,입 구
味,未,아닐 미
微,彳,조금 걸을 척
微,𢼸,작을 미
尾,尸,주검 시
尾,毛,터럭 모
迷,辶,쉬엄쉬엄 갈 착
迷,米,쌀 미
眉,𠃜,주검 시
眉,目,눈 목
民,氏,각시 씨
民,𠃍,-
敏,攵,칠 복
敏,每,매양 매
憫,忄,심방변 심
憫,閔,성씨 민
密,宓,성씨 복
密,山,메 산
蜜,虫,벌레 훼
蜜,宓,성씨 복
朴,木,나무 목
朴,卜,점 복
博,十,열 십
博,尃,펼 부
拍,扌,재방변 수
拍,白,흰 백
迫,辶,쉬엄쉬엄 갈 착
迫,白,흰 백
薄,艹,초두머리 초
薄,溥,펼 부
泊,氵,삼수변 수
泊,白,흰 백
半,𠀆,-
半,八,여덟 팔
反,又,또 우
反,厂,기슭 엄
班,玨,쌍옥 각
班,刂,선칼도방 도
般,舟,배 주
般,殳,몽둥이 수
盤,皿,그릇 명
盤,般,가지 반
飯,飠,밥식 식
飯,反,돌이킬 반
伴,亻,사람인변 인
伴,半,반 반
叛,半,반 반
叛,反,돌이킬 반
返,辶,쉬엄쉬엄 갈 착
返,反,돌이킬 반
發,癶,등질 발
發,弓,활 궁
發,殳,몽둥이 수
髮,髟,늘어질 표
髮,犮,달릴 발
拔,扌,재방변 수
拔,犮,달릴 발
方,丶,점 주
方,万,일 만 만
放,攵,칠 복
放,方,모 방
防,阝,좌부변 부
防,方,모 방
房,戶,집 호
房,方,모 방
訪,言,말씀 언
訪,方,모 방
妨,女,여자 녀(여)
妨,方,모 방
芳,艹,초두머리 초
芳,方,모 방
倣,亻,사람인변 인
倣,放,놓을 방
傍,亻,사람인변 인
傍,旁,곁 방
邦,丰,예쁠 봉
邦,⻏,우부방 읍
倍,亻,사람인변 인
倍,咅,침 뱉을 부
拜,手,손 수
拜,一,한 일
拜,丰,예쁠 봉
背,⺼,육달월 월
背,北,북녘 북
配,酉,닭 유
配,己,몸 기
輩,車,수레 차
輩,非,아닐 비
培,土,흙 토
培,咅,침 뱉을 부
排,扌,재방변 수
排,非,아닐 비
杯,木,나무 목
杯,不,아닐 부
白,丿,삐침 별
白,日,날 일
百,白,흰 백
百,一,한 일
伯,亻,사람인변 인
伯,白,흰 백
番,田,밭 전
番,釆,분별할 변
繁,糸,가는 실 멱
繁,敏,민첩할 민
飜,飛,날 비
飜,番,차례 번
煩,火,불 화
煩,頁,머리 혈
罰,罒,그물망 망
罰,䚯,소리 현
伐,亻,사람인변 인
伐,戈,창 과
犯,犭,개사슴록변 견
犯,㔾,병부 절
範,𥫗,대죽 죽
範,𨊠,수레 바닥 둘레 나무 범
凡,几,안석 궤
凡,丶,점 주
法,氵,삼수변 수
法,去,갈 거
壁,土,흙 토
壁,辟,피할 피
碧,石,돌 석
碧,珀,호박 박
變,䜌,어지러울 련(연)
變,攵,칠 복
邊,辶,쉬엄쉬엄 갈 착
邊,臱,보이지 않을 면
辯,辡,따질 변
辯,言,말씀 언
辨,辡,따질 변
辨,刂,선칼도방 도
別,刂,선칼도방 도
別,另,헤어질 령(영)
病,疒,병들어 기댈 녁(역)
病,丙,남녘 병
兵,八,여덟 팔
兵,丘,언덕 구
丙,一,한 일
丙,内,안 내
竝,立,설 립(입)
竝,立,설 립(입)
屛,尸,주검 시
屛,幷,아우를 병
保,亻,사람인변 인
保,呆,어리석을 매
步,止,그칠 지
步,𣥂,밟을 달
報,幸,다행 행
報,𠬝,다스릴 복
寶,宀,집 면
寶,𤣩,구슬옥변 옥
寶,缶,장군 부
寶,貝,조개 패
普,日,날 일
普,並,나란히 병
譜,言,말씀 언
譜,普,넓을 보
補,衤,옷의변 의
補,甫,클 보
服,月,달 월
服,𠬝,다스릴 복
福,礻,보일시변 시
福,畐,가득할 복
復,彳,조금 걸을 척
復,复,회복할 복
伏,亻,사람인변 인
伏,犬,개 견
複,衤,옷의변 의
複,复,회복할 복
腹,月,달 월
腹,复,회복할 복
卜,卜,점 복
本,木,나무 목
本,一,한 일
奉,𡗗,-
奉,𠀆,-
鳳,𠘨,새 나는 모양 수
鳳,一,한 일
鳳,鳥,새 조
封,寸,마디 촌
封,圭,서옥 규
峯,山,메 산
峯,夆,끌 봉
逢,辶,쉬엄쉬엄 갈 착
逢,夆,끌 봉
蜂,虫,벌레 훼
蜂,夆,끌 봉
父,八,여덟 팔
父,乂,벨 예
夫,大,클 대
夫,一,한 일
部,咅,침 뱉을 부
部,⻏,우부방 읍
府,广,집 엄
府,付,줄 부
富,宀,집 면
富,畐,가득할 복
副,刂,선칼도방 도
副,畐,가득할 복
婦,女,여자 녀(여)
婦,帚,비 추
否,口,입 구
否,不,아닐 부
負,⺈,칼도 도
負,貝,조개 패
覆,覀,덮을 아
覆,復,회복할 복
符,𥫗,대죽 죽
符,付,줄 부
付,亻,사람인변 인
付,寸,마디 촌
浮,氵,삼수변 수
浮,孚,미쁠 부
賦,貝,조개 패
賦,武,호반 무
腐,肉,고기 육
腐,府,마을 부
附,阝,좌부변 부
附,付,줄 부
簿,𥫗,대죽 죽
簿,溥,펼 부
扶,扌,재방변 수
扶,夫,지아비 부
赴,走,달릴 주
赴,卜,점 복
北,匕,비수 비
北,丬,나뭇조각 장
分,刀,칼 도
分,八,여덟 팔
粉,米,쌀 미
粉,分,나눌 분
憤,忄,심방변 심
憤,賁,클 분
奔,大,클 대
奔,卉,풀 훼
奮,奞,날개 칠 순
奮,田,밭 전
紛,糹,가는 실 멱
紛,分,나눌 분
墳,土,흙 토
墳,賁,클 분
不,丆,구결자 면
不,丨,뚫을 곤
不,丶,점 주
佛,亻,사람인변 인
佛,弗,아닐 불
拂,扌,재방변 수
拂,弗,아닐 불
崩,山,메 산
崩,朋,벗 붕
朋,月,달 월
朋,月,달 월
比,匕,비수 비
比,匕,비수 비
費,貝,조개 패
費,弗,아닐 불
鼻,自,스스로 자
鼻,畀,줄 비
飛,亻,사람인변 인
飛,丨,뚫을 곤
飛,𠃧,날 비
備,亻,사람인변 인
備,𤰇,갖출 비
非,卝,쌍상투 관
非,二,두 이
非,二,두 이
悲,心,마음 심
悲,非,아닐 비
批,扌,재방변 수
批,比,견줄 비
祕,示,보일 시
祕,必,반드시 필
碑,石,돌 석
碑,卑,낮을 비
妃,女,여자 녀(여)
妃,己,몸 기
婢,女,여자 녀(여)
婢,卑,낮을 비
肥,⺼,육달월 월
肥,巴,꼬리 파
卑,十,열 십
卑,白,흰 백
卑,丿,삐침 별
貧,貝,조개 패
貧,分,나눌 분
賓,宀,집 면
賓,丅,아래 하
賓,丿,삐침 별
賓,丿,삐침 별
賓,貝,조개 패
賓,丶,점 주
頻,頁,머리 혈
頻,步,걸음 보
氷,水,물 수
氷,丶,점 주
聘,耳,귀 이
聘,甹,말 잴 병
四,囗,나라 국
四,八,여덟 팔
事,𠮛,뜻 지
事,肀,붓 사
社,礻,보일시변 시
社,土,흙 토
使,亻,사람인변 인
使,吏,벼슬아치 리(이)
死,歹,살 바른 뼈 알
死,匕,비수 비
史,中,가운데 중
史,丶,점 주
士,士,선비 사
仕,亻,사람인변 인
仕,士,선비 사
寫,宀,집 면
寫,舄,신 석
思,心,마음 심
思,田,밭 전
査,木,나무 목
査,且,또 차
寺,寸,마디 촌
寺,土,흙 토
師,帀,두를 잡
師,𠂤,쌓을 퇴
謝,言,말씀 언
謝,射,쏠 사
舍,𠆢,사람 인
舍,舌,혀 설
辭,辛,매울 신
辭,𤔔,어지러울 란(난)
私,禾,벼 화
私,厶,사사 사
絲,糹,가는 실 멱
絲,糸,가는 실 멱
射,寸,마디 촌
射,身,몸 신
邪,牙,어금니 아
邪,⻏,우부방 읍
沙,氵,삼수변 수
沙,少,적을 소
司,𠮛,뜻 지
司,𠃌,-
蛇,虫,벌레 훼
蛇,它,다를 타
斜,斗,말 두
斜,余,나 여
詞,言,말씀 언
詞,司,맡을 사
祀,示,보일 시
祀,巳,뱀 사
巳,巳,뱀 사
捨,扌,재방변 수
捨,舍,집 사
斯,斤,근 근
斯,其,그 기
詐,言,말씀 언
詐,乍,잠깐 사
賜,貝,조개 패
賜,易,바꿀 역
似,亻,사람인변 인
似,以,써 이
削,刂,선칼도방 도
削,肖,닮을 초
朔,月,달 월
朔,屰,거스를 역
山,山,메 산
算,𥬥,-
算,卄,스물 입
産,生,날 생
産,产,낳을 산
散,攵,칠 복
散,龷,-
散,月,달 월
殺,𣏂,죽일 살
殺,殳,몽둥이 수
三,一,한 일
三,二,두 이
森,木,나무 목
森,林,수풀 림(임)
上,上,윗 상
商,亠,돼지해머리 두
商,八,여덟 팔
商,冏,빛날 경
相,目,눈 목
相,木,나무 목
賞,龸,-
賞,員,인원 원
常,龸,-
常,吊,이를 적
床,广,집 엄
床,木,나무 목
想,心,마음 심
想,相,서로 상
狀,犬,개 견
狀,爿,나뭇조각 장
傷,亻,사람인변 인
傷,𠂉,-
傷,昜,볕 양
象,𠮥,-
象,丨,뚫을 곤
象,𧰨,더위잡을 반
霜,雨,비 우
霜,相,서로 상
裳,龸,-
裳,衣,옷 의
裳,口,입 구
桑,木,나무 목
桑,叒,따를 약
喪,吅,부르짖을 훤
喪,十,열 십
喪,𧘇,옷의변 의
詳,言,말씀 언
詳,羊,양 양
尙,小,작을 소
尙,冋,들 경
像,亻,사람인변 인
像,象,코끼리 상
償,亻,사람인변 인
償,賞,상줄 상
祥,示,보일 시
祥,羊,양 양
嘗,龸,-
嘗,口,입 구
嘗,旨,뜻 지
色,⺈,칼도 도
色,巴,꼬리 파
索,糸,가는 실 멱
索,冖,덮을 멱
索,十,열 십
塞,𡨄,틈 하
塞,土,흙 토
生,𠂉,-
生,土,흙 토
西,兀,우뚝할 올
西,口,입 구
書,曰,가로 왈
書,聿,붓 율
序,广,집 엄
序,予,나 여
恕,心,마음 심
恕,如,같을 여
緖,糹,가는 실 멱
緖,者,놈 자
徐,彳,조금 걸을 척
徐,余,나 여
署,罒,그물망 망
署,者,놈 자
暑,日,날 일
暑,者,놈 자
敍,攴,칠 복
敍,余,나 여
逝,辶,쉬엄쉬엄 갈 착
逝,折,꺾을 절
庶,广,집 엄
庶,廿,스물 입
庶,灬,연화발 화
誓,言,말씀 언
誓,折,꺾을 절
夕,夕,저녁 석
席,巾,수건 건
席,广,집 엄
席,廿,스물 입
石,丆,구결자 면
石,口,입 구
惜,忄,심방변 심
惜,昔,예 석
釋,釆,분별할 변
釋,睪,엿볼 역
昔,龷,-
昔,日,날 일
析,木,나무 목
析,斤,근 근
先,丿,삐침 별
先,圥,버섯 록(녹)
線,糹,가는 실 멱
線,泉,샘 천
鮮,魚,물고기 어
鮮,羊,양 양
仙,亻,사람인변 인
仙,山,메 산
善,口,입 구
善,羊,양 양
善,䒑,초두머리 초
選,辶,쉬엄쉬엄 갈 착
選,巽,부드러울 손
船,舟,배 주
船,几,안석 궤
船,口,입 구
宣,宀,집 면
宣,亘,뻗칠 긍
禪,示,보일 시
禪,單,홑 단
旋,方,모 방
旋,𠂉,-
旋,疋,짝 필
雪,雨,비 우
雪,彐,돼지 머리 계
說,言,말씀 언
說,兌,바꿀 태
設,言,말씀 언
設,殳,몽둥이 수
舌,千,일천 천
舌,口,입 구
攝,扌,재방변 수
攝,聶,소곤거릴 섭
涉,氵,삼수변 수
涉,步,걸음 보
姓,女,여자 녀(여)
姓,生,날 생
成,戊,천간 무
成,𠃌,-
省,目,눈 목
省,少,적을 소
性,忄,심방변 심
性,生,날 생
誠,言,말씀 언
誠,成,이룰 성
聲,耳,귀 이
聲,殸,소리 성
盛,皿,그릇 명
盛,成,이룰 성
聖,𦔻,성인 성
聖,壬,북방 임
城,土,흙 토
城,成,이룰 성
星,日,날 일
星,生,날 생
世,廿,스물 입
世,𠃊,숨을 은
洗,氵,삼수변 수
洗,先,먼저 선
歲,步,걸음 보
歲,戌,개 술
勢,力,힘 력(역)
勢,埶,재주 예
稅,禾,벼 화
稅,兌,바꿀 태
細,糹,가는 실 멱
細,田,밭 전
小,小,작을 소
少,小,작을 소
少,丿,삐침 별
所,戶,집 호
所,斤,근 근
消,氵,삼수변 수
消,肖,닮을 초
笑,𥫗,대죽 죽
笑,夭,일찍 죽을 요
掃,扌,재방변 수
掃,帚,비 추
素,龶,-
素,糸,가는 실 멱
訴,言,말씀 언
訴,斥,물리칠 척
燒,火,불 화
燒,堯,요임금 요
疏,𤴔,짝필 필
疏,㐬,깃발 류(유)
蘇,艹,초두머리 초
蘇,穌,깨어날 소
召,口,입 구
召,刀,칼 도
昭,日,날 일
昭,召,부를 소
蔬,艹,초두머리 초
蔬,疏,소통할 소
騷,馬,말 마
騷,蚤,벼룩 조
速,辶,쉬엄쉬엄 갈 착
速,束,묶을 속
束,木,나무 목
束,口,입 구
續,糹,가는 실 멱
續,賣,팔 매
俗,亻,사람인변 인
俗,谷,골 곡
屬,尸,주검 시
屬,氺,물 수
屬,蜀,애벌레 촉
粟,米,쌀 미
粟,覀,덮을 아
孫,子,아들 자
孫,系,맬 계
損,扌,재방변 수
損,員,인원 원
送,辶,쉬엄쉬엄 갈 착
送,关,웃을 소
頌,頁,머리 혈
頌,公,공평할 공
松,木,나무 목
松,公,공평할 공
訟,言,말씀 언
訟,公,공평할 공
誦,言,말씀 언
誦,甬,길 용
鎖,金,쇠 금
鎖,𧴪,자잘할 쇄
刷,𡰯,돼지 시
刷,刂,선칼도방 도
衰,亠,돼지해머리 두
衰,口,입 구
衰,一,한 일
